ID;NLTK;Natasha
4547;– Как?;– Сбрендил?
4548;– Что?!;И еще, сделайте мне одолжение, ладно?
4549;– Сбрендил?;Сейчас-то о чем беспокоиться?
4550;И еще, сделайте мне одолжение, ладно?;Кстати, куда он подевался?
4551;Сейчас-то о чем беспокоиться?;Она уже завернула за угол и скрылась из виду, когда из окна опять поплыл голос дяди Вернона: – Значит, Дудлика пригласили в гости?
4552;Кстати, куда он подевался?;Этим летом каждый день одно и то же: мучительное напряжение, ожидание, потом временное облегчение, потом снова нарастающее беспокойство… и недоумение, всякий раз все острее:почемуничего не происходит?
4553;Она уже завернула за угол и скрылась из виду, когда из окна опять поплыл голос дяди Вернона: – Значит, Дудлика пригласили в гости?;– Слышали, какой сейчас был выхлоп?
4554;Этим летом каждый день одно и то же: мучительное напряжение, ожидание, потом временное облегчение, потом снова нарастающее беспокойство… и недоумение, всякий раз все острее:почемуничего не происходит?;– Какого рожна ты это сделал, парень?
4555;– Слышали, какой сейчас был выхлоп?;– Что сделал? – холодно уточнил Гарри.
4556;– Какого рожна ты это сделал, парень?;– Что ты тут шныряешь?
4557;– Что сделал?;Правильно, Петуния!Что ты делал под окном, парень?
4558;– Что ты тут шныряешь?;– Слушал новости?Опять?!
4559;Правильно, Петуния!Что ты делал под окном, парень?;Зачем же тогда все эти ваши… – тут она тоже понизила голос, и следующее слово Гарри пришлось читать по губам: –совы?Разве они не новости приносят?
4560;– Слушал новости?Опять?!;Возможно ли, что Добби сейчас здесь?
4561;Зачем же тогда все эти ваши… – тут она тоже понизила голос, и следующее слово Гарри пришлось читать по губам: –совы?Разве они не новости приносят?;Вдруг в эту самую минуту эльф идет за ним по пятам?
4562;Возможно ли, что Добби сейчас здесь?;Почему же они не заговорили с Гарри?
4563;Вдруг в эту самую минуту эльф идет за ним по пятам?;И где прячутся теперь?
4564;Почему же они не заговорили с Гарри?;Может, из-за бесконечного ожидания он, Гарри, дошел до ручки и готов любой самый обычный шум принять за весточку из своего мира?
4565;И где прячутся теперь?;Может, просто у соседей что-то разбилось или взорвалось?
4566;Может, из-за бесконечного ожидания он, Гарри, дошел до ручки и готов любой самый обычный шум принять за весточку из своего мира?;Завтра в пять утра он снова проснется по будильнику, чтобы заплатить сове, разносящей «Оракул», – но что толку его выписывать?
4567;Может, просто у соседей что-то разбилось или взорвалось?;При встрече?
4568;Завтра в пять утра он снова проснется по будильнику, чтобы заплатить сове, разносящей «Оракул», – но что толку его выписывать?;И когда же это?
4569;Ты же понимаешь, мы не можем писать о сам-знаешь-чем… Нам не велели сообщать тебе никаких важных новостей, на случай, если письма заблудятся… Мы сейчас довольно сильно заняты, но я не могу рассказать в письме подробно… Здесь столько всего происходит, при встрече обо всем расскажем… При встрече?;Но как скоро наступит это самое «скоро»?
4570;И когда же это?;И чем это таким они заняты?
4571;Но как скоро наступит это самое «скоро»?;И почему он, Гарри, не занят ничем?
4572;И чем это таким они заняты?;Разве он не доказал, что способен на много, много большее, чем они?
4573;И почему он, Гарри, не занят ничем?;Неужели все забыли,чтоон сделал?
4574;Разве он не доказал, что способен на много, много большее, чем они?;Как мог Думбльдор взять и забыть про него?
4575;Неужели все забыли,чтоон сделал?;Почему Рон с Гермионой вместе, а его не позвали?
4576;Как мог Думбльдор взять и забыть про него?;И сколько ему еще терпеть наставления Сириуса?
4577;Почему Рон с Гермионой вместе, а его не позвали?;Сколько сидеть смирно, быть паинькой и бороться с искушением написать в газету: ку-ку, ребята, Вольдеморт вернулся?
4578;И сколько ему еще терпеть наставления Сириуса?;Если дружки Дудли увидят его одного, они тут же бросятся к нему – и что тогда делать Дудли?
4579;Сколько сидеть смирно, быть паинькой и бороться с искушением написать в газету: ку-ку, ребята, Вольдеморт вернулся?;– Визжал прямо как свинья, скажи? – говорил Малькольм под дружный гогот приятелей.
4580;Ну же… оглянитесь… я тут совсем один… давайте… подойдите-ка… Если дружки Дудли увидят его одного, они тут же бросятся к нему – и что тогда делать Дудли?;– Завтра в то же время? – спросил Дудли.
4581;– Визжал прямо как свинья, скажи?;Чемпион у нас ты, забыл?
4582;– Завтра в то же время?;– А твои друзья знают, как тебя называет мамочка?
4583;– Не-а, не я. Чемпион у нас ты, забыл?;Может, «Попкин» или «Пипкин»?
4584;– А твои друзья знают, как тебя называет мамочка?;Можно мне тебя так называть?
4585;– Аейты не говоришь «заткни свой поганый рот»… Может, «Попкин» или «Пипкин»?;– Ладно, лучше расскажи, кого вы отметелили сегодня? – спросил тот, и улыбка исчезла с его лица.
4586;Можно мне тебя так называть?;– Очередного малолетку?
4587;– Ладно, лучше расскажи, кого вы отметелили сегодня?;– Ах вот как?
4588;– Очередного малолетку?;Неужто он осмелился сказать, что ты похож на свинью, которую выучили ходить на задних ногах?
4589;– Ах вот как?;– Думаешь, если у тебя эта штука, ты самый крутой, да? – сказал Дудли после короткого раздумья.
4590;Неужто он осмелился сказать, что ты похож на свинью, которую выучили ходить на задних ногах?;– Какая штука?
4591;– Думаешь, если у тебя эта штука, ты самый крутой, да?;– А вдруг у нас правила поменяли?
4592;– Какая штука?;А тебе не доложили?
4593;– А вдруг у нас правила поменяли?;Сколько было твоему сопернику?
4594;А тебе не доложили?;Семь?
4595;Сколько было твоему сопернику?;Восемь?
4596;Семь?;– Чего?
4597;Восемь?;Ночью в кровати я не такой храбрый?
4598;– Чего?;Что это значит? – озадаченно спросил Гарри.
4599;Ночью в кровати я не такой храбрый?;– А чего мне там бояться?
4600;Что это значит?;Подушек?
4601;– А чего мне там бояться?;– Чего? – снова спросил Гарри, но у него уже похолодело в груди.
4602;Подушек?;Кто такой Седрик?
4603;– Чего?;Твой бойфренд?
4604;Не убивай Седрика!» Кто такой Седрик?;Он прекрасно понимал, что Дудли не врет – откуда еще ему знать про Седрика?
4605;Твой бойфренд?;– Понял?
4606;Он прекрасно понимал, что Дудли не врет – откуда еще ему знать про Седрика?;– Я спрашиваю,понял?
4607;– Понял?;– ПОНЯЛ МЕНЯ?
4608;– Я спрашиваю,понял?;В уши ударил перепуганный голос Дудли: – Т-ты чего н-наделал?
4609;– ПОНЯЛ МЕНЯ?;Немыслимо… невозможно… как они оказались здесь… в Литтл Уинджинге?. .
4610;В уши ударил перепуганный голос Дудли: – Т-ты чего н-наделал?;– Т-ты г-где?
4611;Немыслимо… невозможно… как они оказались здесь… в Литтл Уинджинге?.;Т-ты ч-что?. .
4612;– Т-ты г-где?;– ДУДЛИ?
4613;Т-ты ч-что?.;– А если тут еще есть?
4614;– ДУДЛИ?;Глава вторая Засовали долбы – Чего? – тупо спросил Гарри.
4615;– А если тут еще есть?;– Вы… вы – ведьма?
4616;Глава вторая Засовали долбы – Чего?;Вот как, скажите на милость, я должна была справляться с дементорами?
4617;– Вы… вы – ведьма?;– Значит, этот самый Мундугнус следил за мной?
4618;Вот как, скажите на милость, я должна была справляться с дементорами?;– Да, да,да!Счастье еще, что я на всякий случай поставила на дежурство мистера Пуфика, под машину, и он прибежал меня предупредить, но, когда я добралась до вашего дома, ты уже ушел… а теперь… что скажет Думбльдор?
4619;Оставил тебя без прикрытия, а ведь япредупреждала… – Значит, этот самый Мундугнус следил за мной?;– Вы знаете Думбльдора? – уставился на нее Гарри.
4620;– Да, да,да!Счастье еще, что я на всякий случай поставила на дежурство мистера Пуфика, под машину, и он прибежал меня предупредить, но, когда я добралась до вашего дома, ты уже ушел… а теперь… что скажет Думбльдор?;– Конечно, я знаю Думбльдора, кто же не знает Думбльдора?
4621;– Вы знаете Думбльдора?;Что там в конце улицы?
4622;– Конечно, я знаю Думбльдора, кто же не знает Думбльдора?;Да не убирай ты палочку, сколько можно говорить, что от меня никакого толку?
4623;Вот вам декрет о рациональных ограничениях колдовства среди несовершеннолетних… вотэтогоДумбльдор и боялся… Что там в конце улицы?;– Миссис Фигг, почему вы никогда не говорили, что вы шваха? – пыхтя и отдуваясь, спросил Гарри.
4624;Ах, это мистер Прентис всего-навсего… Да не убирай ты палочку, сколько можно говорить, что от меня никакого толку?;– Я столько раз бывал у вас дома… почему вы ничего не сказали?
4625;– Миссис Фигг, почему вы никогда не говорили, что вы шваха?;О господи, – она снова трагически заломила руки, – когда Думбльдор узнает… как Мундугнуспосмелуйти с поста до полуночи?И где его носит?Как я доложу Думбльдору?
4626;– Я столько раз бывал у вас дома… почему вы ничего не сказали?;– Но мне же нужно было отогнать дементоров, как я мог обойтись без колдовства?
4627;Это было нелегко, уж поверь… О господи, – она снова трагически заломила руки, – когда Думбльдор узнает… как Мундугнуспосмелуйти с поста до полуночи?И где его носит?Как я доложу Думбльдору?;Их ведь больше должно волновать, откуда в Глициниевом переулке взялись дементоры?
4628;– Но мне же нужно было отогнать дементоров, как я мог обойтись без колдовства?;– Чё стряслось, Фигуля? – спросил он, невинно хлопая глазами и переводя взгляд с миссис Фигг на Гарри, а потом на Дудли.
4629;Их ведь больше должно волновать, откуда в Глициниевом переулке взялись дементоры?;– Мы чего, уже не под прикрытием?
4630;– Чё стряслось, Фигуля?;– Дементоры? – ошалело повторил Мундугнус.
4631;– Мы чего, уже не под прикрытием?;– Дементоры, здесь?
4632;– Дементоры?;Разве я не говорила, чтоб ты на месте оставался?
4633;– Дементоры, здесь?;Не говорила?
4634;Разве я не говорила, чтоб ты на месте оставался?;– Так ведь шанс… уникальный… бизнес, понимаешь?. .
4635;Не говорила?;– Ну же, давай, Гарри, чего дожидаешься?!
4636;– Так ведь шанс… уникальный… бизнес, понимаешь?.;– Значит, – пропыхтел Гарри, – это Думбльдор… велел… за мной… следить?
4637;– Ну же, давай, Гарри, чего дожидаешься?!;– Думаешь, после того, что случилось в июне, он бы позволил тебе разгуливать без присмотра?
4638;– На всякий случай… вдруг там еще… ох, батюшки, это просто катастрофа… и тебе пришлось бороться с ними самому… а Думбльдор велел, чтоб мылюбой ценойне давали тебе колдовать… м-да… что толку плакать над пролитым зельем… Кота в мешке не утаишь… – Значит, – пропыхтел Гарри, – это Думбльдор… велел… за мной… следить?;– А вы что будете делать? – поспешно спросил Гарри.
4639;– Думаешь, после того, что случилось в июне, он бы позволил тебе разгуливать без присмотра?;Слава богу, а то я уже начала всерьез волнова… волнова…Дюдюша, что с тобой?!
4640;– А вы что будете делать?;Дудлик, что с тобой?!
4641;Слава богу, а то я уже начала всерьез волнова… волнова…Дюдюша, что с тобой?!;Вернон?
4642;Дудлик, что с тобой?!;– В чем дело, сынок?
4643;Вернон?;Что случилось?
4644;– В чем дело, сынок?;Миссис Полкисс что-то не то подала к чаю?
4645;Что случилось?;– Почему ты весь в грязи, деточка?
4646;Миссис Полкисс что-то не то подала к чаю?;Ты что, лежал на земле?
4647;– Почему ты весь в грязи, деточка?;На тебя случайно не напали, а, сыночек?
4648;Ты что, лежал на земле?;Что они с тобой сделали?
4649;– Подожди-ка… На тебя случайно не напали, а, сыночек?;– Кто это был, сынок?
4650;Что они с тобой сделали?;Что, Дудличек?
4651;– Кто это был, сынок?;– Что ты сделал с моим сыном? – грозно спросил он.
4652;Что, Дудличек?;– Дудленька, что он тебе сделал? – дрожащим голосом спросила тетя Петуния, губкой отчищая кожаную куртку сына.
4653;– Что ты сделал с моим сыном?;– Он что… он… ну, сам-знаешь-что, да, дорогой?
4654;– Дудленька, что он тебе сделал?;Он доставал… своюштуку?
4655;– Он что… он… ну, сам-знаешь-что, да, дорогой?;– Ты куда это направился?! – закричал дядя Вернон и, не получив ответа, тяжеловесно затопотал по кухне, чтобы перекрыть выход.
4656;Он доставал… своюштуку?;Артур Уизли Думбльдор старается все уладить… что это значит?
4657;– Ты куда это направился?!;Разве он может указывать министерству?
4658;Артур Уизли Думбльдор старается все уладить… что это значит?;Значит ли это, что у Гарри появился шанс не вылететь из «Хогварца»?
4659;Разве он может указывать министерству?;В груди затеплилась робкая надежда, почти сразу же задушенная приступом паники, – что значит «не сдавай палочку»?
4660;Значит ли это, что у Гарри появился шанс не вылететь из «Хогварца»?;Как же тут без колдовства?
4661;В груди затеплилась робкая надежда, почти сразу же задушенная приступом паники, – что значит «не сдавай палочку»?;Что ему, драться с министерскими?
4662;Как же тут без колдовства?;– От кого вообще эти проклятущие совы? – страшным голосом спросил он.
4663;Что ему, драться с министерскими?;– В министерстве магии?– возопил дядя Вернон.
4664;– От кого вообще эти проклятущие совы?;– Ваши людив правительстве?О, это все объясняет, все, все объясняет.
4665;– В министерстве магии?– возопил дядя Вернон.;Дядя Вернон некоторое время негодующе смотрел на него, а потом злобно выплюнул: – И за что же тебя исключили?
4666;– Ваши людив правительстве?О, это все объясняет, все, все объясняет.;– Признался!Говори, что ты сделал с Дудли?
4667;Дядя Вернон некоторое время негодующе смотрел на него, а потом злобно выплюнул: – И за что же тебя исключили?;– Что он сделал?
4668;– Признался!Говори, что ты сделал с Дудли?;– Какоетакоеты слышал, Попкин?
4669;– Что он сделал?;Что же всплыло в памяти испорченного, избалованного, наглого Дудли?
4670;– Какоетакоеты слышал, Попкин?;– А как получилось, что ты упал, сынок? – спросил дядя Вернон неестественно тихо, как говорят у постели тяжелобольного.
4671;Что же всплыло в памяти испорченного, избалованного, наглого Дудли?;– Что же было потом, Дудлик?
4672;– А как получилось, что ты упал, сынок?;– Ты наложил на моего сына идиотское заклятие, так что он стал слышать голоса и решил, будто он… обречен на несчастье?
4673;– Что же было потом, Дудлик?;– Сколько раз вам говорить? – взвился Гарри.
4674;– Ты наложил на моего сына идиотское заклятие, так что он стал слышать голоса и решил, будто он… обречен на несчастье?;– Де… кто?
4675;– Сколько раз вам говорить?;Это что еще за дрянь такая?
4676;– Де… кто?;– И кто это такие, дементоры?
4677;Это что еще за дрянь такая?;Миссис Фигг – ладно, нотетя Петуния?. .
4678;– И кто это такие, дементоры?;– Откуда вы знаете? – потрясенно выпалил он.
4679;Миссис Фигг – ладно, нотетя Петуния?.;– Если вы имеете в виду моих маму и папу, почему бы не называть их по именам? – с вызовом сказал Гарри, но тетя Петуния не обратила на него внимания.
4680;– Откуда вы знаете?;Потом снова открыл, снова закрыл, а затем, с явным трудом припоминая, как люди разговаривают, открыл в третий раз и прокаркал: – Так… так… они… э-э… и правда… э-э… существуют?
4681;– Если вы имеете в виду моих маму и папу, почему бы не называть их по именам?;Эти… э-э… демей… как их там?
4682;Потом снова открыл, снова закрыл, а затем, с явным трудом припоминая, как люди разговаривают, открыл в третий раз и прокаркал: – Так… так… они… э-э… и правда… э-э… существуют?;– Ну? – напомнил о своем существовании дядя Вернон.
4683;Эти… э-э… демей… как их там?;– Что новенького?
4684;– Ну?;Посадят тебя или как?
4685;– Что новенького?;Смертная казнь-то у вас вообще бывает? – с воодушевлением добавил он после короткого раздумья.
4686;Посадят тебя или как?;– И там тебя приговорят?
4687;Смертная казнь-то у вас вообще бывает?;– Что еще? – недовольно спросил Гарри.
4688;– И там тебя приговорят?;– Но кто такие эти… дементы? – гневно перебил его дядя Вернон.
4689;– Что еще?;– Чем они ЗАНИМАЮТСЯ?
4690;Тут появились два дементора… – Но кто такие эти… дементы?;– Поцелуй? – вытаращил глаза дядя Вернон.
4691;– Чем они ЗАНИМАЮТСЯ?;–Поцелуй?
4692;– Поцелуй?;– Душу?Они же не забрали… нет… у него ведь осталась?. .
4693;–Поцелуй?;– Значит, ты задал им жару, да, сын? – громко заговорил дядя Вернон, явно стремясь вернуть разговор в понятное ему русло.
4694;– Душу?Они же не забрали… нет… у него ведь осталась?.;– Показал, почем фунт лиха, правда?
4695;– Значит, ты задал им жару, да, сын?;– А почему же он тогда в полном порядке? – с вызовом спросил дядя Вернон.
4696;– Показал, почем фунт лиха, правда?;– Почему из него ничего не выпито?
4697;– А почему же он тогда в полном порядке?;А?
4698;– Почему из него ничего не выпито?;ЯСНО?!
4699;А?;Кто-нибудь вообще собирается сказать ему «молодец»?
4700;ЯСНО?!;Что сегодня случилось? – прогавкал дядя Вернон.
4701;Кто-нибудь вообще собирается сказать ему «молодец»?;– Если на Дудли напали дурмендуры, почему тогда исключают тебя?
4702;Что сегодня случилось?;Говори, ты делал сам-знаешь-что?
4703;– Если на Дудли напали дурмендуры, почему тогда исключают тебя?;Делал?
4704;Говори, ты делал сам-знаешь-что?;– Но чтопонадобилосьэтим демендурам у нас в Литтл Уинджинге?! – возмущенно закричал дядя Вернон.
4705;Делал?;С чего бы еще им здесь появляться?
4706;– Но чтопонадобилосьэтим демендурам у нас в Литтл Уинджинге?!;Что они забыли в том переулке?
4707;С чего бы еще им здесь появляться?;Действительно,почемудементоры оказались в Литтл Уинджинге, там же, где и Гарри?
4708;Что они забыли в том переулке?;Неужто случайно?
4709;Действительно,почемудементоры оказались в Литтл Уинджинге, там же, где и Гарри?;Кто их послал?
4710;Неужто случайно?;Они вышли из-под контроля министерства магии?
4711;Кто их послал?;Покинули Азкабан и встали на сторону Вольдеморта, как предсказывал Думбльдор?
4712;Они вышли из-под контроля министерства магии?;– Так эти дерьмендеры охраняют вашу дурацкую тюрьму? – спросил дядя Вернон, словно бы следуя по пятам за раздумьями Гарри.
4713;Покинули Азкабан и встали на сторону Вольдеморта, как предсказывал Думбльдор?;– Так ведь, парень?
4714;– Так эти дерьмендеры охраняют вашу дурацкую тюрьму?;– Тогда зачем?. .
4715;– Так ведь, парень?;– Что?
4716;– Тогда зачем?.;Кто – он?
4717;– Что?;– Вернулся? – прошептала тетя Петуния.
4718;Кто – он?;– И теперь он послал за тобой двусмерторов?
4719;– Вернулся?;– Чего? – удивился Гарри.
4720;– И теперь он послал за тобой двусмерторов?;Что?!Совы?!
4721;– Чего?;– Что это было?
4722;А мы своей добротой сами себе все испортили, ду-мали, сможем это из тебя выбить, сделать из тебя человека, только уж если кто родился с гнильцой, ничего не попишешь, и теперь с меня хва… Что?!Совы?!;Петуния?
4723;– Что это было?;– Петуния, дорогая? – робко позвал дядя Вернон.
4724;– Что… я не понимаю… Петуния?;– П-петуния?
4725;– Петуния, дорогая?;– Ч-что?!
4726;– П-петуния?;– Что скажут соседи, если мы выбросим его на улицу?
4727;– Ч-что?!;– Кто прислал вопиллер?
4728;– Он… но, Петуния… – Что скажут соседи, если мы выбросим его на улицу?;– Вы что, переписываетесь с колдунами?
4729;– Кто прислал вопиллер?;– Что это значит?
4730;– Вы что, переписываетесь с колдунами?;Вспомни мое последнее – что?
4731;– Что это значит?;– Откуда?. .
4732;Вспомни мое последнее – что?;И что,чтосказал этот непонятный вопиллер?
4733;– Откуда?.;Чей голос таким грозным, таким страшным эхом разносился по кухне?
4734;И что,чтосказал этот непонятный вопиллер?;Почему Гарри должен сидеть здесь, как в клетке, не зная абсолютно ничего?
4735;Чей голос таким грозным, таким страшным эхом разносился по кухне?;Почему с ним обращаются как с непослушным младенцем?Ни в коем случае не колдуй, никуда не уходи из дома…
4736;Почему Гарри должен сидеть здесь, как в клетке, не зная абсолютно ничего?;Поняла?
4737;Почему с ним обращаются как с непослушным младенцем?Ни в коем случае не колдуй, никуда не уходи из дома… Гарри мимоходом пнул сундук со школьными вещами, но от злости не избавился, наоборот, стало еще хуже: к страданиям и без того измученного тела прибавилась острая боль в большом пальце.;А если его признают виновным?
4738;Поняла?;И исключат из школы?
4739;А если его признают виновным?;Сломают пополам его палочку?
4740;И исключат из школы?;Что тогда делать, куда податься?
4741;Сломают пополам его палочку?;Можно ли будет поселиться в доме Сириуса, как тот и предлагал год назад, еще до своего побега?
4742;Что тогда делать, куда податься?;Позволят ли Гарри жить там одному, ведь он несовершеннолетний?
4743;Можно ли будет поселиться в доме Сириуса, как тот и предлагал год назад, еще до своего побега?;Или это решат за него?
4744;Позволят ли Гарри жить там одному, ведь он несовершеннолетний?;А вдруг он так серьезно нарушил Международный закон о секретности, что его приговорят к сроку в Азкабане?
4745;Или это решат за него?;– Что?
4746;А вдруг он так серьезно нарушил Международный закон о секретности, что его приговорят к сроку в Азкабане?;– Профессор Хмури? – неуверенно сказал он.
4747;– Что?;– П-профессор Люпин?! – не веря сам себе, тихо воскликнул он.
4748;– Профессор Хмури?;– Это вы?
4749;– П-профессор Люпин?!;– А чего мы в темноте-то? – сказал третий голос, на этот раз совершенно незнакомый, женский.
4750;– Это вы?;– Люпин, а ты вполне уверен, что это он? – пророкотал Хмури.
4751;– А чего мы в темноте-то?;А может, у кого с собой признавалиум?
4752;– Люпин, а ты вполне уверен, что это он?;– Гарри, какой облик принимает твой Заступник? – спросил Люпин.
4753;А может, у кого с собой признавалиум?;– Сдурел, парень?! – взревел Хмури.
4754;– Гарри, какой облик принимает твой Заступник?;– Куда пихаешь?
4755;– Сдурел, парень?!;А если сработает?
4756;– Куда пихаешь?;– Это кто остался без задницы? – тут же заинтересовалась фиолетововолосая ведьма.
4757;А если сработает?;– Главное, держать палочку подальше от задних карманов, ясно?
4758;– Это кто остался без задницы?;– Ну, ты как? – спросил он, внимательно глядя ему в лицо.
4759;– Главное, держать палочку подальше от задних карманов, ясно?;– Так мы что, уезжаем? – спросил он.
4760;– Ну, ты как?;– Скоро?
4761;– Так мы что, уезжаем?;– А куда?
4762;– Скоро?;В «Гнездо»? – с надеждой спросил Гарри.
4763;– А куда?;Но, интересно, зачем их так много?
4764;В «Гнездо»?;– Какие оничистюли,эти муглы, скажите?
4765;Но, интересно, зачем их так много?;Впрочем, они же, наверное, все разные, как и мы, колдуны, да?
4766;– Какие оничистюли,эти муглы, скажите?;– А что? – не понял Гарри.
4767;Впрочем, они же, наверное, все разные, как и мы, колдуны, да?;– Шизоглаз, ты в курсе, что меня сейчас стошнит? – как бы между прочим спросила Бомс.
4768;– А что?;– Гарри, не подашь стакан воды? – попросил Хмури.
4769;– Шизоглаз, ты в курсе, что меня сейчас стошнит?;– А как мы доберемся до… ну, до места? – спросил Гарри.
4770;– Гарри, не подашь стакан воды?;– Я из-за него какая-то изможденная, нет?
4771;– А как мы доберемся до… ну, до места?;– Как вы это сделали? – уставился на нее Гарри.
4772;– Я из-за него какая-то изможденная, нет?;– Вы – аврор? – сказал Гарри, сильно впечатленный.
4773;– Как вы это сделали?;Я жутко неуклюжая – слышал, я тарелку разбила, когда мы прибыли?
4774;– Вы – аврор?;– А выучиться на метаморфомага можно? – спросил Гарри, напрочь забыв, что нужно собираться.
4775;Я жутко неуклюжая – слышал, я тарелку разбила, когда мы прибыли?;Бомс хихикнула: – Что, шрам надоел, да?
4776;– А выучиться на метаморфомага можно?;Иногда не прочь от него избавиться?
4777;Бомс хихикнула: – Что, шрам надоел, да?;Ничего не забыли?
4778;Иногда не прочь от него избавиться?;Котел?
4779;– Что ж, сталочуточкулучше… с домохозяйственными заклинаниями у меня не очень-то… Ну что… Ничего не забыли?;Метлу?
4780;Котел?;«Всполох»?
4781;Метлу?;Палка в кармане?
4782;«Всполох»?;Попа на месте?
4783;– Ну да ладно… Палка в кармане?;Обе половинки?
4784;Попа на месте?;– Это обязательно?
4785;Обе половинки?;– Что?
4786;– Это обязательно?;Разочаровать? – занервничал Гарри.
4787;– Что?;– А что, могут? – испугался Гарри, но Хмури его будто бы и не услышал. – …остальные продолжают лететь как ни в чем не бывало, не останавливаясь, соблюдая боевой порядок.
4788;Разочаровать?;Интересно, сколько они уже летят?
4789;Если кого-то убьют… – А что, могут?;– Где это мы? – спросил Гарри, но Люпин тихо сказал: – Минутку.
4790;Интересно, сколько они уже летят?;Глава четвертая Площадь Мракэнтлен, дом 12 – А что это такое, Орден?. . – начал было Гарри.
4791;– Где это мы?;– Но где же?. .
4792;Глава четвертая Площадь Мракэнтлен, дом 12 – А что это такое, Орден?.;– Почему?
4793;– Но где же?.;– Как это?. .
4794;– Почему?;Зачем они здесь, в доме, явно принадлежащем чернейшему из магов?
4795;– Как это?.;– Миссис Уизли, почему?. .
4796;Зачем они здесь, в доме, явно принадлежащем чернейшему из магов?;О-о, как ты?
4797;– Миссис Уизли, почему?.;Ты нормально?
4798;О-о, как ты?;Ты очень злишься?
4799;Ты нормально?;– Да что ты?
4800;Ты очень злишься?;– А на кого-нибудь изваснападали дементоры?
4801;– Да что ты?;– Мне пришлось самому о себе позаботиться, а?
4802;– А на кого-нибудь изваснападали дементоры?;– А ты… не боишься дисциплинарного слушания? – тихо спросила Гермиона.
4803;– Мне пришлось самому о себе позаботиться, а?;– И почему же Думбльдору так хотелось, чтоб я ничего не знал? – спросил Гарри, все еще стараясь, чтобы голос звучал как обычно.
4804;– А ты… не боишься дисциплинарного слушания?;– Вы… э-э… не потрудились поинтересоваться?
4805;– И почему же Думбльдору так хотелось, чтоб я ничего не знал?;– Ты что, сдурел? – растерялся Рон.
4806;– Вы… э-э… не потрудились поинтересоваться?;– А почему же тогда вы во всем участвуете, а я сижу у Дурслеев? – сбивчиво заговорил Гарри, с каждым словом повышая голос.
4807;– Ты что, сдурел?;– Почему вам можно знать все, а мне нет?
4808;– А почему же тогда вы во всем участвуете, а я сижу у Дурслеев?;Но Гарри, не помня себя, заорал: – ВАС, ЗНАЧИТ, НЕ ПУСКАЛИ НА СОБРАНИЯ?!
4809;– Почему вам можно знать все, а мне нет?;КТО ВЕРНУЛ ФИЛОСОФСКИЙ КАМЕНЬ?
4810;– Мама и близко не подпускала нас к собраниям, говорит, мы еще малень… Но Гарри, не помня себя, заорал: – ВАС, ЗНАЧИТ, НЕ ПУСКАЛИ НА СОБРАНИЯ?!;КТО УНИЧТОЖИЛ РЕДДЛЯ?
4811;КТО ВЕРНУЛ ФИЛОСОФСКИЙ КАМЕНЬ?;КТО ВСЕХ СПАСАЛ ОТ ДЕМЕНТОРОВ?
4812;КТО УНИЧТОЖИЛ РЕДДЛЯ?;– КТО СРАЖАЛСЯ С ДРАКОНАМИ, СФИНКСАМИ И ВСЯКОЙ НЕЧИСТЬЮ?
