;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
6432;Седрик… говорил что-нибудь… обо м-мне… перед смертью?;11;[{'PROPN': 'седрик'}, {'PUNCT': '…'}, {'VERB': 'говорить'}, {'PRON': 'что-нибудь'}, {'PUNCT': '…'}, {'ADP': 'о'}, {'VERB': 'м-я'}, {'PUNCT': '…'}, {'ADP': 'перед'}, {'NOUN': 'смерть'}, {'PUNCT': '?'}];0;0
6433;Эмм… так ты… так ты… на каникулах часто ходила на квидиш?;15;[{'PROPN': 'эмма'}, {'PUNCT': '…'}, {'ADV': 'так'}, {'PRON': 'ты'}, {'PUNCT': '…'}, {'ADV': 'так'}, {'PRON': 'ты'}, {'PUNCT': '…'}, {'ADP': 'на'}, {'NOUN': 'каникулы'}, {'ADV': 'часто'}, {'VERB': 'ходить'}, {'ADP': 'на'}, {'NOUN': 'квидиш'}, {'PUNCT': '?'}];0;0
6434;Ты ведь болеешь за «Торнадо», да?;10;[{'PRON': 'ты'}, {'PART': 'ведь'}, {'VERB': 'болеть'}, {'ADP': 'за'}, {'PUNCT': '«'}, {'PROPN': 'торнадо'}, {'PUNCT': '»'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];0;0
6436;Чтобы после меня встречаться с другими?;7;[{'SCONJ': 'чтобы'}, {'ADP': 'после'}, {'PRON': 'я'}, {'VERB': 'встречаться'}, {'ADP': 'с'}, {'ADJ': 'другой'}, {'PUNCT': '?'}];0;0
6437;Сколько у тебя свиданий на сегодня, после Гермионы?;10;[{'ADV': 'сколько'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'NOUN': 'свидание'}, {'ADP': 'на'}, {'NOUN': 'сегодня'}, {'PUNCT': ','}, {'ADP': 'после'}, {'PROPN': 'гермиона'}, {'PUNCT': '?'}];сколько;[{'ADV': 'сколько'}]
6438;И чего, спрашивается, ей понадобилось говорить о Седрике?;11;[{'CCONJ': 'и'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADV': 'спрашивается'}, {'PUNCT': ','}, {'PRON': 'она'}, {'VERB': 'понадобиться'}, {'VERB': 'говорить'}, {'ADP': 'о'}, {'PROPN': 'седрик'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6439;Зачем она постоянно вспоминает такое, от чего превращается в живой поливальный шланг?;14;[{'ADV': 'зачем'}, {'PRON': 'она'}, {'ADV': 'постоянно'}, {'VERB': 'вспоминать'}, {'DET': 'такой'}, {'PUNCT': ','}, {'ADP': 'от'}, {'PRON': 'что'}, {'VERB': 'превращаться'}, {'ADP': 'в'}, {'ADJ': 'живой'}, {'ADJ': 'поливальный'}, {'NOUN': 'шланг'}, {'PUNCT': '?'}];"зачем; что";[{'ADV': 'зачем'}, {'PRON': 'что'}]
6440;Как делишки?;3;[{'SCONJ': 'как'}, {'NOUN': 'делишки'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
6441;А ты как?;4;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'ADV': 'как'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
6443;Ну чего, снова мы в одной лодке, да, Гарри?;13;[{'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADV': 'снова'}, {'PRON': 'мы'}, {'ADP': 'в'}, {'NUM': 'один'}, {'NOUN': 'лодка'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6444;Не помри они, жизнь пошла бы по-другому, да?;11;[{'PART': 'не'}, {'VERB': 'помереть'}, {'PRON': 'они'}, {'PUNCT': ','}, {'NOUN': 'жизнь'}, {'VERB': 'пойти'}, {'AUX': 'бы'}, {'ADV': 'по-другому'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];0;0
6445;Огрид, – не удержавшись, спросил Гарри, – откуда у тебя эти раны?;16;[{'PROPN': 'огрид'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PART': 'не'}, {'VERB': 'удержаться'}, {'PUNCT': ','}, {'VERB': 'спросить'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'DET': 'этот'}, {'NOUN': 'рана'}, {'PUNCT': '?'}];откуда;[{'ADV': 'откуда'}]
6447;Какие раны?;3;[{'DET': 'какой'}, {'NOUN': 'рана'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
6448;В чем дело?;4;[{'ADP': 'в'}, {'PRON': 'что'}, {'NOUN': 'дело'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6449;С Чо?;3;[{'PROPN': 'с'}, {'PROPN': 'что'}, {'PUNCT': '?'}];что;[{'PROPN': 'что'}]
6451;Что вы затеяли?;4;[{'PRON': 'что'}, {'PRON': 'вы'}, {'VERB': 'затеять'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6452;Надеюсь,разговариватьс ним можно?;6;[{'VERB': 'надеяться'}, {'PUNCT': ','}, {'VERB': 'разговариватьс'}, {'PRON': 'он'}, {'ADV': 'можно'}, {'PUNCT': '?'}];0;0
6453;Она хорошенькая, Гарри?;5;[{'PRON': 'она'}, {'ADJ': 'хорошенький'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];0;0
6454;Какая еще сделка?;4;[{'DET': 'какой'}, {'ADV': 'еще'}, {'NOUN': 'сделка'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
6455;Что ты при этом чувствовал?;6;[{'PRON': 'что'}, {'PRON': 'ты'}, {'ADP': 'при'}, {'PRON': 'это'}, {'VERB': 'чувствовать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6456;Что тебяпредали?;3;[{'PRON': 'что'}, {'NOUN': 'тебяпредали'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6457;Не поняли?;3;[{'PART': 'не'}, {'VERB': 'понять'}, {'PUNCT': '?'}];0;0
6459;Значит, ты продолжаешь утверждать, что Тот-Кто-Не-Должен-Быть-Помянут вернулся?;10;[{'VERB': 'значить'}, {'PUNCT': ','}, {'PRON': 'ты'}, {'VERB': 'продолжать'}, {'VERB': 'утверждать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'NOUN': 'тот-кто-не-должен-быть-помянуть'}, {'VERB': 'вернуться'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6460;Ты подписываешься под этой чепухой, которую городит Думбльдор?;10;[{'PRON': 'ты'}, {'VERB': 'подписываться'}, {'ADP': 'под'}, {'DET': 'этот'}, {'NOUN': 'чепуха'}, {'PUNCT': ','}, {'PRON': 'который'}, {'VERB': 'городить'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];0;0
6461;Якобы Сами-Знаете-Кто возродился, а ты был единственным свидетелем?;10;[{'ADV': 'якобы'}, {'PART': 'сами-знаете-кто'}, {'VERB': 'возродиться'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PRON': 'ты'}, {'AUX': 'быть'}, {'ADJ': 'единственный'}, {'NOUN': 'свидетель'}, {'PUNCT': '?'}];0;0
6462;Назвать их имена?;4;[{'VERB': 'назвать'}, {'DET': 'их'}, {'NOUN': 'имя'}, {'PUNCT': '?'}];0;0
6463;Впрочем, – она опустила перо и испепелила Гермиону взглядом, – юная мисс Совершенство не захочет, чтобы подобная статья появилась в печати?;25;[{'ADV': 'впрочем'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'она'}, {'VERB': 'опустить'}, {'NOUN': 'перо'}, {'CCONJ': 'и'}, {'VERB': 'испепелить'}, {'PROPN': 'гермиона'}, {'NOUN': 'взгляд'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADJ': 'юный'}, {'NOUN': 'мисс'}, {'PROPN': 'совершенство'}, {'PART': 'не'}, {'VERB': 'захотеть'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'ADJ': 'подобный'}, {'NOUN': 'статья'}, {'VERB': 'появиться'}, {'ADP': 'в'}, {'NOUN': 'печать'}, {'PUNCT': '?'}];0;0
6465;Чтобы я написала, что он говорит о Том-Кто-Не-Должен-Быть-Помянут?;10;[{'SCONJ': 'чтобы'}, {'PRON': 'я'}, {'VERB': 'написать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'он'}, {'VERB': 'говорить'}, {'ADP': 'о'}, {'NOUN': 'том-кто-не-должен-быть-помянуть'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6466;Значит, цель существования «Оракула» – рассказывать людям то, что они хотят слышать?;17;[{'VERB': 'значить'}, {'PUNCT': ','}, {'NOUN': 'цель'}, {'NOUN': 'существование'}, {'PUNCT': '«'}, {'NOUN': 'оракул'}, {'PUNCT': '»'}, {'PUNCT': '–'}, {'VERB': 'рассказывать'}, {'NOUN': 'человек'}, {'PRON': 'тот'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'они'}, {'VERB': 'хотеть'}, {'VERB': 'слышать'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6467;Полагаю, наш папа издает какую-нибудь идиотскую деревенскую газетенку?;10;[{'VERB': 'полагать'}, {'PUNCT': ','}, {'DET': 'наш'}, {'NOUN': 'папа'}, {'VERB': 'издавать'}, {'DET': 'какой-нибудь'}, {'ADJ': 'идиотский'}, {'ADJ': 'деревенский'}, {'NOUN': 'газетенка'}, {'PUNCT': '?'}];0;0
6468;«Двадцать пять способов слиться с муглами в экстазе» и даты сельских распродаж?;15;[{'PUNCT': '«'}, {'NUM': 'двадцать'}, {'NUM': 'пять'}, {'NOUN': 'способ'}, {'VERB': 'слиться'}, {'ADP': 'с'}, {'NOUN': 'муглами'}, {'ADP': 'в'}, {'NOUN': 'экстаз'}, {'PUNCT': '»'}, {'CCONJ': 'и'}, {'NOUN': 'дата'}, {'ADJ': 'сельский'}, {'NOUN': 'распродажа'}, {'PUNCT': '?'}];0;0
6469;Стало быть, он публикует лишь то, что обязаны знать читатели?;13;[{'VERB': 'стать'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'PRON': 'он'}, {'VERB': 'публиковать'}, {'PART': 'лишь'}, {'PRON': 'тот'}, {'PUNCT': ','}, {'PRON': 'что'}, {'ADJ': 'обязанный'}, {'VERB': 'знать'}, {'NOUN': 'читатель'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6470;Думаете, если его интервью напечатают в «Правдоборе», публика ему поверит?;15;[{'VERB': 'думать'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'DET': 'его'}, {'NOUN': 'интервью'}, {'VERB': 'напечатать'}, {'ADP': 'в'}, {'PUNCT': '«'}, {'PROPN': 'правдобор'}, {'PUNCT': '»'}, {'PUNCT': ','}, {'NOUN': 'публика'}, {'PRON': 'он'}, {'VERB': 'поверить'}, {'PUNCT': '?'}];0;0
6471;Сколько я за это получу?;6;[{'NUM': 'сколько'}, {'PRON': 'я'}, {'ADP': 'за'}, {'PRON': 'это'}, {'VERB': 'получить'}, {'PUNCT': '?'}];сколько;[{'NUM': 'сколько'}]
6472;То есть я что, должна работатьбесплатно?;8;[{'PRON': 'тот'}, {'VERB': 'быть'}, {'PRON': 'я'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADJ': 'должный'}, {'VERB': 'работатьбесплатно'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6473;Очевидно, у меня нет выбора?;7;[{'ADV': 'очевидно'}, {'PUNCT': ','}, {'ADP': 'у'}, {'PRON': 'я'}, {'VERB': 'нет'}, {'NOUN': 'выбор'}, {'PUNCT': '?'}];0;0
6474;Ну что?;3;[{'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6475;Готов поведать людям правду?;5;[{'NOUN': 'готовый'}, {'VERB': 'поведать'}, {'NOUN': 'человек'}, {'NOUN': 'правда'}, {'PUNCT': '?'}];0;0
6476;Интересно, как воспримут его историю?;7;[{'ADJ': 'интересный'}, {'PUNCT': ','}, {'ADV': 'как'}, {'VERB': 'воспринять'}, {'DET': 'его'}, {'NOUN': 'история'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
6477;Тяжело было… наверное… вспоминать?;7;[{'ADV': 'тяжело'}, {'AUX': 'быть'}, {'PUNCT': '…'}, {'ADV': 'наверное'}, {'PUNCT': '…'}, {'VERB': 'вспоминать'}, {'PUNCT': '?'}];0;0
6478;Кстати, а что у вас произошло?;8;[{'ADV': 'кстати'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'SCONJ': 'что'}, {'ADP': 'у'}, {'PRON': 'вы'}, {'VERB': 'произойти'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6479;Почему ты пришел со свидания так рано?;8;[{'ADV': 'почему'}, {'PRON': 'ты'}, {'VERB': 'прийти'}, {'ADP': 'с'}, {'NOUN': 'свидание'}, {'ADV': 'так'}, {'ADV': 'рано'}, {'PUNCT': '?'}];почему;[{'ADV': 'почему'}]
6480;Ну вот скажи, что все это значит?;9;[{'PART': 'ну'}, {'PART': 'вот'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'DET': 'весь'}, {'PRON': 'это'}, {'VERB': 'значить'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6482;Я бестактен?;3;[{'PRON': 'я'}, {'VERB': 'бестактный'}, {'PUNCT': '?'}];0;0
6483;А она?;3;[{'CCONJ': 'а'}, {'PRON': 'она'}, {'PUNCT': '?'}];0;0
6484;А мне каково?;4;[{'CCONJ': 'а'}, {'PRON': 'я'}, {'ADJ': 'каков'}, {'PUNCT': '?'}];0;0
6485;Как бы я пошел?;5;[{'ADV': 'как'}, {'AUX': 'бы'}, {'PRON': 'я'}, {'VERB': 'пойти'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
6486;А не проще прямо спросить, кто мне нравится больше – ты или она?;15;[{'CCONJ': 'а'}, {'PART': 'не'}, {'ADJ': 'проще'}, {'ADV': 'прямо'}, {'VERB': 'спросить'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'я'}, {'VERB': 'нравиться'}, {'ADV': 'большой'}, {'PUNCT': '–'}, {'PRON': 'ты'}, {'CCONJ': 'или'}, {'PRON': 'она'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
6487;Как прошла тренировка?;4;[{'ADV': 'как'}, {'VERB': 'пройти'}, {'NOUN': 'тренировка'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
6488;Рона с Джинни нет?;5;[{'PROPN': 'рон'}, {'ADP': 'с'}, {'PROPN': 'джинни'}, {'VERB': 'нет'}, {'PUNCT': '?'}];0;0
6489;Рону удалось взять хоть один мяч?;7;[{'PROPN': 'рон'}, {'VERB': 'удаться'}, {'VERB': 'взять'}, {'ADV': 'хоть'}, {'NUM': 'один'}, {'NOUN': 'мяч'}, {'PUNCT': '?'}];0;0
6490;А экзамены?;3;[{'CCONJ': 'а'}, {'NOUN': 'экзамен'}, {'PUNCT': '?'}];0;0
6491;Представляете, что будет, если нас сделает Захария Смит?;11;[{'VERB': 'представлять'}, {'PUNCT': ','}, {'PRON': 'что'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PRON': 'мы'}, {'VERB': 'сделать'}, {'PROPN': 'захария'}, {'PROPN': 'смит'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6492;А что?;3;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6493;Он злился на Рона – трудно было, что ли, захрапеть попозже?;14;[{'PRON': 'он'}, {'VERB': 'злиться'}, {'ADP': 'на'}, {'PROPN': 'рон'}, {'PUNCT': '–'}, {'ADJ': 'трудный'}, {'AUX': 'быть'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PART': 'ли'}, {'PUNCT': ','}, {'NOUN': 'захрапеть'}, {'ADV': 'поздний'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6494;Ты к кому?;4;[{'PRON': 'ты'}, {'ADP': 'к'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
6495;Что это?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6496;По фотографии шла надпись большими красными буквами:ГАРРИ ПОТТЕР ЗАГОВОРИЛ!ПРАВДА О ТОМ-КТО-НЕ-ДОЛЖЕН-БЫТЬ-ПОМЯНУТ И О НОЧИ ЕГО ВОЗВРАЩЕНИЯ УНИКАЛЬНОЕ СВИДЕТЕЛЬСТВО ОЧЕВИДЦА – Хорошо получилось, да?;29;[{'ADP': 'по'}, {'NOUN': 'фотография'}, {'VERB': 'идти'}, {'NOUN': 'надпись'}, {'ADJ': 'больший'}, {'ADJ': 'красный'}, {'NOUN': 'буква'}, {'PUNCT': ':'}, {'PROPN': 'гарри'}, {'NOUN': 'поттер'}, {'VERB': 'заговорить'}, {'PUNCT': '!'}, {'NOUN': 'правда'}, {'ADP': 'о'}, {'NOUN': 'том-кто-не-должен-быть-помянуть'}, {'CCONJ': 'и'}, {'ADP': 'о'}, {'NOUN': 'ночь'}, {'DET': 'его'}, {'PROPN': 'возвращение'}, {'ADJ': 'уникальный'}, {'NOUN': 'свидетельство'}, {'PROPN': 'очевидец'}, {'PUNCT': '–'}, {'ADJ': 'хороший'}, {'VERB': 'получиться'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];0;0
6497;А это, – она обвела рукой совиное сборище, – видимо, письма от читателей?;17;[{'CCONJ': 'а'}, {'PRON': 'это'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'она'}, {'VERB': 'обвести'}, {'NOUN': 'рука'}, {'ADJ': 'совиный'}, {'NOUN': 'сборище'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADV': 'видимо'}, {'PUNCT': ','}, {'NOUN': 'письмо'}, {'ADP': 'от'}, {'NOUN': 'читатель'}, {'PUNCT': '?'}];0;0
6498;Гарри, не возражаешь, если мы?;8;[{'PROPN': 'гарри'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'возражать'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PRON': 'мы'}, {'PUNCT': '?'}];0;0
6499;Что здесь происходит?;4;[{'PRON': 'что'}, {'ADV': 'здесь'}, {'VERB': 'происходить'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6500;Откуда у вас столько писем, мистер Поттер?;9;[{'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'вы'}, {'NUM': 'столько'}, {'NOUN': 'письмо'}, {'PUNCT': ','}, {'NOUN': 'мистер'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];откуда;[{'ADV': 'откуда'}]
6501;Это что, преступление?;5;[{'PRON': 'это'}, {'PRON': 'что'}, {'PUNCT': ','}, {'NOUN': 'преступление'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6502;Получать почту?;3;[{'VERB': 'получать'}, {'NOUN': 'почта'}, {'PUNCT': '?'}];0;0
6503;Итак, мистер Поттер?;5;[{'ADV': 'итак'}, {'PUNCT': ','}, {'NOUN': 'мистер'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];0;0
6504;Признаваться или нет?;4;[{'VERB': 'признаваться'}, {'CCONJ': 'или'}, {'PART': 'нет'}, {'PUNCT': '?'}];0;0
6506;Что вы имеете в виду?;6;[{'PRON': 'что'}, {'PRON': 'вы'}, {'VERB': 'иметь'}, {'ADP': 'в'}, {'NOUN': 'вид'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6507;Когда это было?;4;[{'SCONJ': 'когда'}, {'PRON': 'это'}, {'AUX': 'быть'}, {'PUNCT': '?'}];когда;[{'SCONJ': 'когда'}]
6508;Чему ты так радуешься?;5;[{'PRON': 'что'}, {'PRON': 'ты'}, {'ADV': 'так'}, {'VERB': 'радоваться'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6509;Гарри, неужели ты не понимаешь?;7;[{'PROPN': 'гарри'}, {'PUNCT': ','}, {'PART': 'неужели'}, {'PRON': 'ты'}, {'PART': 'не'}, {'VERB': 'понимать'}, {'PUNCT': '?'}];0;0
6510;Ты уверен в достоверности этих фактов?;7;[{'PRON': 'ты'}, {'ADJ': 'уверенный'}, {'ADP': 'в'}, {'NOUN': 'достоверность'}, {'DET': 'этот'}, {'NOUN': 'факт'}, {'PUNCT': '?'}];0;0
6511;Что такое?;3;[{'PRON': 'что'}, {'DET': 'такой'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6512;Что, на кого-то опять напали?;7;[{'PRON': 'что'}, {'PUNCT': ','}, {'ADP': 'на'}, {'PRON': 'кто-то'}, {'ADV': 'опять'}, {'VERB': 'напасть'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6513;На папу?;3;[{'ADP': 'на'}, {'NOUN': 'папа'}, {'PUNCT': '?'}];0;0
6514;Опять змея?;3;[{'ADV': 'опять'}, {'NOUN': 'змея'}, {'PUNCT': '?'}];0;0
6515;О чем ты?;4;[{'ADP': 'о'}, {'PRON': 'что'}, {'PRON': 'ты'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6516;Ты что… видел Сам-Знаешь-Кого?;6;[{'PRON': 'ты'}, {'PRON': 'что'}, {'PUNCT': '…'}, {'VERB': 'видеть'}, {'PROPN': 'сам-знаешь-кий'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6517;ЯбылСам-Знаешь-Кем, – ответил Гарри и медленно поднес руку к лицу – вдруг это мертвенно-белая паукообразная лапа?;18;[{'NOUN': 'ябылсам-знаешь-кем'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'ответить'}, {'PROPN': 'гарри'}, {'PART': 'и'}, {'ADV': 'медленно'}, {'VERB': 'поднести'}, {'NOUN': 'рука'}, {'ADP': 'к'}, {'NOUN': 'лицо'}, {'PUNCT': '–'}, {'ADV': 'вдруг'}, {'DET': 'это'}, {'ADJ': 'мертвенно-белый'}, {'ADJ': 'паукообразный'}, {'NOUN': 'лапа'}, {'PUNCT': '?'}];0;0
6518;Сам-Знаешь-Кто был с Гадвудом, это один из беглых Упивающихся Смертью, помнишь?;14;[{'NOUN': 'сам-знаешь-кто'}, {'AUX': 'быть'}, {'ADP': 'с'}, {'PROPN': 'гадвуд'}, {'PUNCT': ','}, {'PRON': 'это'}, {'NUM': 'один'}, {'ADP': 'из'}, {'ADJ': 'беглый'}, {'PROPN': 'упиваться'}, {'NOUN': 'смерть'}, {'PUNCT': ','}, {'VERB': 'помнить'}, {'PUNCT': '?'}];0;0
6519;Чего этого?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6520;Дода околдовали, чтобы что-то забрать?;7;[{'PROPN': 'дод'}, {'VERB': 'околдовать'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'PRON': 'что-то'}, {'VERB': 'забрать'}, {'PUNCT': '?'}];0;0
6521;Так ты говоришь, – Рон близко придвинулся к Гарри, притворившись, будто пьет воду из его кувшина, – чтобылСам-Знаешь-Кем?;23;[{'ADV': 'так'}, {'PRON': 'ты'}, {'VERB': 'говорить'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PROPN': 'рон'}, {'ADV': 'близко'}, {'VERB': 'придвинуться'}, {'ADP': 'к'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'VERB': 'притвориться'}, {'PUNCT': ','}, {'SCONJ': 'будто'}, {'VERB': 'пить'}, {'NOUN': 'вода'}, {'ADP': 'из'}, {'DET': 'его'}, {'NOUN': 'кувшин'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PROPN': 'чтобылсам-знаешь-кем'}, {'PUNCT': '?'}];0;0
6522;Но помните, что сказала знахарка?;7;[{'CCONJ': 'но'}, {'VERB': 'помнить'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'VERB': 'сказать'}, {'NOUN': 'знахарка'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6523;Что Стурджис?;3;[{'PRON': 'что'}, {'PROPN': 'стурджис'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6524;У Стурджиса был плащ-невидимка Шизоглаза, так?;8;[{'ADP': 'у'}, {'PROPN': 'стурджис'}, {'AUX': 'быть'}, {'VERB': 'плащ-невидимка'}, {'PROPN': 'шизоглаз'}, {'PUNCT': ','}, {'ADV': 'так'}, {'PUNCT': '?'}];0;0
6525;Что, если он стоял в плаще у двери и случайно пошевелился, а Малфой услышал?;17;[{'PRON': 'что'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PRON': 'он'}, {'VERB': 'стоять'}, {'ADP': 'в'}, {'NOUN': 'плащ'}, {'ADP': 'у'}, {'NOUN': 'дверь'}, {'CCONJ': 'и'}, {'ADV': 'случайно'}, {'VERB': 'пошевелиться'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PROPN': 'малфа'}, {'VERB': 'услышать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
6526;Или применил проклятие подвластия наугад, на случай, если у двери окажется часовой?;15;[{'CCONJ': 'или'}, {'VERB': 'применить'}, {'NOUN': 'проклятие'}, {'ADJ': 'подвластие'}, {'ADV': 'наугад'}, {'PUNCT': ','}, {'ADP': 'на'}, {'NOUN': 'случай'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'ADP': 'у'}, {'NOUN': 'дверь'}, {'VERB': 'оказаться'}, {'ADJ': 'часовой'}, {'PUNCT': '?'}];0;0
6527;Гадвуд рассказал Вольдеморту, как заполучить оружие?;8;[{'PROPN': 'гадвуд'}, {'VERB': 'рассказать'}, {'PROPN': 'вольдеморт'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'VERB': 'заполучить'}, {'NOUN': 'оружие'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
6528;Гадвуд раньше работал в департаменте… теперь, наверно, Вольдеморт пошлет на задание его?;16;[{'PROPN': 'гадвуд'}, {'ADV': 'ранний'}, {'VERB': 'работать'}, {'ADP': 'в'}, {'NOUN': 'департамент'}, {'PUNCT': '…'}, {'ADV': 'теперь'}, {'PUNCT': ','}, {'ADV': 'наверно'}, {'PUNCT': ','}, {'PROPN': 'вольдеморт'}, {'VERB': 'послать'}, {'ADP': 'на'}, {'NOUN': 'задание'}, {'PRON': 'он'}, {'PUNCT': '?'}];0;0
6530;Последняя картинка, – сказал Злей, – что это?;11;[{'ADJ': 'последний'}, {'NOUN': 'картинка'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'сказать'}, {'PROPN': 'злеть'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
6531;Вы имеетев виду, как мой двоюродный брат пытается поставить меня в унитаз?;14;[{'PRON': 'вы'}, {'VERB': 'имеететь'}, {'NOUN': 'вид'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'DET': 'мой'}, {'ADJ': 'двоюродный'}, {'NOUN': 'брат'}, {'VERB': 'пытаться'}, {'VERB': 'поставить'}, {'PRON': 'я'}, {'ADP': 'в'}, {'NOUN': 'унитаз'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
