ID;Russian;English
634;Толку-то с того?;"""Well -- yeah -- how many three-headed dogs d'yeh meet, even around Hogwarts?"
635;– Гляньте, – проговорил Огрид, – видите, на земле светится?;"Hey -- where're yeh goin'?"""
636;Серебряная такая?;"Where's Dumbledore's office?"""
637;– А если тот, кто его покалечил, найдет нас первым?;"""What are you three doing inside?"""
638;– А оборотеньможетубивать единорогов?;"""See Professor Dumbledore?"""
639;– Ты как, Гермиона?;"""Why?"""
640;– Оборотень?;Harry swallowed -- now what?
641;– Кто идет?;"""He's gone?"""
642;И на поляне появился… кто, человек или конь?;"""Now?"""
643;– Как жизнь?;"""How do you know --?"""
644;– Хотел меня пристрелить?;"And Gryffindor really can't afford to lose any more points, can it?"""
645;– В школе учитесь?;"""Why me?"""
646;И чему же вас там выучили, в школе?;"""Well, that's it then, isn't it?"""
647;Ничего не видал?;"""After what McGonagall and Snape have said?"
648;– Но ты видел чего, Ронан?;"""Don't you understand?"
649;Странное чего-нибудь?;Haven't you heard what it was like when he was trying to take over?
650;– Не замечал ничего?;Losing points doesn't matter anymore, can't you see?
651;– Порядочек?;D'you think he'll leave you and your families alone if Gryffindor wins the house cup?
652;Слушай, я уж тут поспрашивал Ронана… Может, ты видал на днях чего необычное?;"Voldemort killed my parents, remember?"""
653;Единорога ранили, слыхал?;"""But will it cover all three of us?"""
654;– Ладно, ежели кто чего заприметит, скажете мне, лады?;"""All -- all three of us?"""
655;– А их тут много?;"""Oh, come off it, you don't think we'd let you go alone?"""
656;– Как думаешь, сначала мы тоже слышали кентавра?;"""How do you think you'd get to the Stone without us?"
657;– Разве то копыта стучали?;"""We'd better put the cloak on here, and make sure it covers all three of us -- if Filch spots one of our feet wandering along on its own --""  ""What are you doing?"""
658;– Они целы, как думаешь?;"Why don't you go to bed, Neville?"""
659;В чем дело?;"""What've you done to him?"""
660;Где же все?;"""Who's there?"""
661;– Ты цел?;"Are you ghoulie or ghostie or wee student beastie?"""
662;– Да… спасибо…Чтоэто было?;"""What's that at its feet?"""
663;Умеешь ездить верхом?;"""Want to go first, Hermione?"""
664;У тебя на спине человек?;"""What can you see?"""
665;Совсем стыд потерял?;"""You want to go first?"
666;Уподобился мулу?;"Are you sure?"""
667;– А ты не видишь, кто это такой?;"Go straight to the owlery and send Hedwig to Dumbledore, right?"""
668;– Ты что, проболтался?;"""What's this stuff?"""
669;Разве движение планет не поведало нам, чему суждено быть?;"""Devil's Snare, Devil's Snare... what did Professor Sprout say?"
670;А нам какое дело?;"""HAVE YOU GONE MAD?"""
671;– Ты что, не видел единорога?;"""ARE YOU A WITCH OR NOT?"""
672;– Не понимаешь, почему его убили?;"If they met a dragon, a fully-grown dragon -- Norbert had been bad enough...  ""Can you hear something?"""
673;Или планеты скрыли от тебя эту тайну?;"""Do you think it's a ghost?"""
674;– Почему Бейн рассердился?;"""Do you think they'll attack us if we cross the room?"""
675;– И вообще, от кого вы меня спасли?;"""Now what?"""
676;– Гарри Поттер, знаешь ли ты, для чего используется кровь единорога?;They watched the birds soaring overhead, glittering -- glittering?
677;– Но кто на это пойдет?;"""Ready?"""
678;– Чем быть навеки проклятым, лучше умереть, разве нет?;"""Now what do we do?"""
679;– Но вдруг тебе надо продержаться совсем чуть-чуть, пока не выпьешь другой напиток, что вернет и силу, и власть и дарует вечную жизнь?;"""It's obvious, isn't it?"""
680;Мальчик Поттер, известно ли тебе, что спрятано сейчас в стенах вашей школы?;"""How?"""
681;Но я не понимаю, кто…    – Разве ты не знаешь, кто ждал долгие годы, чтобы вернуться к власти, кто цеплялся за жалкую жизнь в ожидании своего часа?;"""Do we -- er -- have to join you to get across?"""
682;В шелесте листвы он как будто вновь услышал слова Огрида, сказанные той ночью, когда они познакомились: «…с чего ему исчезать?;"""What about you?"""
683;Гарри, ты живой?;What if they lost?
684;– Да прекратишь ты называть его по имени?;"""But --""  ""Do you want to stop Snape or not?"""
685;И потом, кто сказал, что пророчества кентавров верны?;"""Ready?"""
686;И потом, с чего ты взял, что Злей выведал, как пройти мимо Пушка?;"""What if he's --?"""
687;– Ты куда?;"""What do you reckon's next?"""
688;– Зачем?;"""All right?"""
689;– Тебе не кажется, что все как-то странно?;"""What do we have to do?"""
690;Сколько народу разгуливает с драконьими яйцами в карманах, если это противозаконно?;"""But so will we, won't we?"""
691;Не странно, нет?;"""But how do we know which to drink?"""
692;И как я раньше не сообразил?;"""Which one will get you back through the purple flames?"""
693;– Вы про что это?;"""But Harry -- what if You-Know-Who's with him?"""
694;– Отстрелялись?;"""Well -- I was lucky once, wasn't I?"""
695;Может, чайку?;"""You are sure which is which, aren't you?"""
696;Как выглядел тот, с кем ты играл?;"""It's not poison?"""
697;– А я помню?;"""But I thought -- Snape --""  ""Severus?"""
698;– А чего такого?;"""Yes, Severus does seem the type, doesn't he?"
699;– А о чем ты с ним говорил, Огрид?;"Next to him, who would suspect p-p-poor, st-stuttering P-Professor Quirrell?"""
700;Упоминал «Хогварц»?;"""Snape was trying to save me?"""
701;– Вроде… Он спросил, чем я занимаюсь, ну, я и говорю, дескать, тут лесником… Он спросил: а за какими зверюгами доводилось присматривать?;"""\Why do you think he wanted to referee your next match?"
702;Я назвал… Потом говорю: всегда жуть как хотел дракона… А потом… Не припомню точно, он всё выпивку заказывал, еще да еще… Погодите-ка… Да, потом онсказал, мол, у него есть драконье яйцо, можно в карты его разыграть… Но, говорит, докажи, что с драконом справишься, я его абы кому не отдам… Тут я и сказал, что после Пушка никакой дракон не страшен…    – А он… он заинтересовался Пушком?;"""You let the troll in?"""
703;А чего, много встретишь трехголовых псов, хоть и в «Хогварце»?;I have a special gift with trolls -- you must have seen what I did to the one in the chamber back there?
704;Эй, вы куда?;"I'm presenting it to my master... but where is it?"""
705;А кстати, где кабинет Думбльдора?;He was at Hogwarts with your father, didn't you know?
706;– Придется нам… – начал Гарри, но тут в холле гулко прозвучало:    – Что это вы здесь делаете?;"""Sometimes,"" he said, ""I find it hard to follow my master's instructions -- he is a great wizard and I am weak --""  ""You mean he was there in the classroom with you?"""
707;– К профессору Думбльдору?;Harry was remembering his trip to Diagon Alley -how could he have been so stupid?
708;– Зачем?;"""I don't understand... is the Stone inside the mirror?"
709;Гарри сглотнул: что же ответить?;"Should I break it?"""
710;– Отбыл?– отчаянно закричал Гарри. –Сейчас?;But how can I look without Quirrell realizing what I'm up to?
711;– Ваше сообщение, Поттер, важнее министерства магии?;"""What does this mirror do?"
712;– Откуда вам известно?..;How does it work?
713;А «Гриффиндору» нельзя больше потерять ни балла, верно?;"""Well?"""
714;– Почему я?;"""What do you see?"""
715;– Считаете, вас обойти труднее, чем целую кучу заклинаний?!;Dare he make a break for it?
716;– Ну что ж, вот и все, да?;"What did you just see?"""
717;– Ты что, обалдел?;What was going on?
718;– НУ И ЧТО?;"""See what I have become?"""
719;– Вы что, не понимаете?;"I have form only when I can share another's body... but there have always been those willing to let me into their hearts and minds.... Unicorn blood has strengthened me, these past weeks... you saw faithful Quirrell drinking it for me in the forest... and once I have the Elixir of Life, I will be able to create a body of my own.... Now... why don't you give me that Stone in your pocket?"""
720;Вы не в курсе, каково было, когда он пытался захватить власть?;"""Then who does?"
721;Или, по-вашему, за кубок Вольдеморт пощадит вас и ваших родных?;"""How long have I been in here?"""
722;– А мы под ним уместимся все втроем?;"""You got there?"
723;– В-втроем?;"You got Hermione's owl?"""
724;– Да ладно тебе – ты что думал, мы тебя одного отпустим?;"""Destroyed?"""
725;– Как ты доберешься до камня без нас?;"""But your friend -- Nicolas Flamel --""  ""Oh, you know about Nicolas?"""
726;– Давайте проверим, поместимся ли мы все под плащом, – а то если Филч увидит, что по коридору разгуливает нога…    – Что это вы тут делаете?;"""You did do the thing properly, didn't you?"
727;А почему ты не идешь спать, Невилл?;"""But that means he and his wife will die, won't they?"""
728;– Что ты с ним сделала?;"""Sir?"""
729;– Кто тут?;Well, Voldemort's going to try other ways of coming back, isn't he?
730;Ты упырька, привиденька?;"I mean, he hasn't gone, has he?"""
731;Или крыська-учениська?;"But why would he want to kill me in the first place?"""
732;– Что это у него под ногами?;"""But why couldn't Quirrell touch me?"""
733;– Пойдешь первой, Гермиона?;"When he had found his voice again, Harry said, ""And the invisibility cloak - do you know who sent it to me?"""
734;– Что там?;"Is that true?"""
735;– Ты первым?;"""What?"""
736;Уверен?;"""What?"""
737;Бегите в совяльню и шлите Хедвигу к Думбльдору, хорошо?;"""Funny, the way people's minds work, isn't it?"
738;– Это что тут?;"""And sir, there's one more thing...""  ""Just the one?"""
739;– Удачно?– взвизгнула Гермиона.;"""How did I get the Stone out of the mirror?"""
740;– Силки Дьявола, Силки Дьявола… Что говорила профессор Спарж?;"I was unfortunate enough in my youth to come across a vomitflavored one, and since then I'm afraid I've rather lost my liking for them -- but I think I'll be safe with a nice toffee, don't you?"""
741;– ТЫ ЧЕГО, СОВСЕМ?;"""What really happened?"""
742;– ВЕДЬМА ТЫ ИЛИ КТО?;"""So the Stone's gone?"""
743;Колдовской банк охраняют драконы… Гарри похолодел: если им встретится дракон, при этом взрослый… Им и Норберта хватило выше крыши…    – Слышишь?;"""Flamel's just going to die?"""
744;– Думаешь, призрак?;"""That's what I said, but Dumbledore thinks that -- what was it?"
745;– Нападут, если пойдем через зал?;"""So what happened to you two?"""
746;– Чего теперь?;"""I brought Ron round -- that took a while -- and we were dashing up to the owlery to contact Dumbledore when we met him in the entrance hall -- he already knew -- he just said, 'Harry's gone after him, hasn't he?'"
747;Они стояли и смотрели, как птицы носятся у них над головой, сверкая…Сверкая?;"""D'you think he meant you to do it?"""
748;– Этоключи!Ключи с крылышками, видите?;"""Sending you your father's cloak and everything?"""
749;– Готовы?;"I can, can't I?"""
750;– И что теперь?;"""Who is it?"""
751;– Как?;"""It's not a stoat sandwich, is it?"""
752;– Чтобы перейти на ту сторону, мы должны… э-э… играть за вас?;"""Sent owls off ter all yer parents' old school friends, askin' fer photos... knew yeh didn' have any... d'yeh like it?"""
753;– А ты?;"""Busy year?"""
754;Что, если они проиграют?;"""Ready, are you?"""
755;– А куда деваться?;
756;– Но…    – Ты хочешь остановить Злея или нет?;
757;– Готовы?;
758;– А что, если он?..;
759;– Как думаешь, что дальше?;
760;– Идем?;
761;– Что надо делать?;
762;– Так ведь и мы застрянем, нет?;
763;– И как мы узнаем, где что?;
764;– А какой поможет вернуться сквозь пурпурное пламя?;
765;– Но, Гарри… А если с ним Сам-Знаешь-Кто?..;
766;– Ты точно уверена, что есть что, да?;
767;– Не яд?;
768;– Но я думал… Злей…    – Злотеус?;
769;Кто рядом с ним заподозрит н-несчастного, б-бедного з-заику п-п-профессора С-Страунса?;
770;– Спасал?;
771;– Зачем, по-твоему, он потом взялся судить матч?;
772;– Этовывпустили тролля?;
773;По троллям я спец: видал, что я сделал с тем, на входе?;
774;К несчастью, пока все без толку гонялись за троллем, Злей – а он уже сильно подозревал меня – отправился прямиком на третий этаж, мне наперерез… И что в итоге?;
775;– Я вижу камень… я вручаю его моему господину… но где же камень-то?;
776;Они с твоим отцом вместе учились в «Хогварце», не знал?;
777;Ноубиватьтебя?;
778;– Иногда, – сказал он, – мне трудно выполнять повеления моего господина… Он великий чародей, а я так бесконечно слаб…    – Что, господин был с вами в классе?;
779;– Не понимаю… Может, камень –внутризеркала?;
780;Разбить его, что ли?;
781;«Чего я сейчас хочу больше всего на свете?;
782;Как посмотреть в зеркало, чтобы Страунс не догадался?»    Он попробовал незаметно передвинуться левее, ближе к зеркалу, однако ноги были слишком крепко стянуты веревками.;
783;Страунс и головы не повернул – он разговаривал сам с собой:    – Что же делает это проклятое зеркало?;
784;Как оно действует?;
785;– Ну?;
786;– Что ты видишь?;
787;Ну что, попробовать сбежать?;
788;Что ты видел?;
789;Что происходит?;
790;– Видишь, во что я превратился?;
791;– Тень, призрак… Населяю чужое тело… Впрочем, всегда найдутся те, кто готов впустить меня в свою душу, в свой разум… За последние недели кровь единорога укрепила мои силы… В лесу ты видел, как верный Страунс пил ее за меня… А теперь, с Эликсиром Жизни, я опять создам себе тело… Ну что… не отдашь ли камень, который прячешь в кармане?;
792;– А у кого же он?;
793;– Сколько я уже здесь?;
794;– Вы там были?;
795;Вы получили сову Гермионы?;
796;– Уничтожен?;
797;– Но как же ваш друг – Николя Фламель?..;
798;– А, ты знаешь про Николя?;
799;–Во всемразобрался, не так ли?;
800;– Но ведь теперь он и его жена умрут?;
801;В конце концов, для дисциплинированного сознаниячтоесть смерть, как не новое замечательное приключение?;
802;– Сэр?;
803;В общем, Вольдеморт ведь снова попытается вернуться?;
804;Он же никуда не делся?;
805;Но зачем ему было убиватьменя?;
806;– А почему Страунс не мог до меня дотронуться?;
807;Когда голос вернулся к нему, он спросил:    – А плащ-невидимка?;
808;Вы не знаете, кто мне его прислал?;
809;Это правда?;
810;– Что?;
811;– Что?;
812;– Забавно, как устроены люди, правда?;
813;– И, сэр, еще одна вещь…    – Всего одна?;
814;– Как я достал камень из зеркала?;
815;Но, пожалуй, с ириской я не рискую?;
816;– А что было-то?;
817;– Значит, камня больше нет?;
818;– И Фламель простоумрет?;
819;– Я спросил у Думбльдора, но он говорит… как это?;
820;«… для дисциплинированного сознаниячтоесть смерть, как не новое замечательное приключение?»    – Всегда говорил, что он – того.;
821;– А с вами что было?;
822;Он уже все знал, спросил только: «Гарри пошел за ним, да?» – и скорей побежал на третий этаж.;
823;– Как думаешь, он понимал, что ты так поступишь?;
824;– И потому послал тебе плащ-невидимку и прочее?;
825;По-моему, он более или менее в курсе всего, что здесь происходит, понимаете?;
826;– Можно?;
827;– Кто?;
828;– Не бутерброд с горностаем, надеюсь?;
829;– Разослал сов по школьным приятелям твоих предков, выпросил фотки, у кого что есть… У тебя-то ж вовсе ни одной… Ну, нравится?;
830;Миссис Уизли им улыбнулась:    – Интересный был год?;
831;– Готов, ты?;
832;Если б вы разрешили хотя бы выпускать ее по ночам…    – Я что, похож на идиота?;
833;– Не знаю, по-твоему, чем все кончится, если ты выпустишь это чучело?;
834;– Дудли кушает вволю, правда, сынок?;
835;– Я не в смысле…    – РАЗВЕ ТЕБЕ НЕ ГОВОРИЛИ?;
836;НЕ ТВЕРДИЛИ СТО РАЗ?;
837;Какое дело Дурслеям до того, что Гарри выгонят из команды, если он не будет тренироваться и за лето потеряет форму?;
838;Какое им дело, что он явится в школу, не выполнив ни одного домашнего задания?;
839;Петуния, ты будешь?..;
840;Дудли, ты?;
841;– Дудли скроил противную жеманную улыбочку: – Позвольте ваши плащи, мистер и миссис Мейсон?;
842;И повернулся к Гарри: – Аты?;
843;– А ты, Дудли, скажешь…    – Позвольте проводить вас в столовую, миссис Мейсон?;
844;– Аты?– Дядя грозно прищурился на Гарри.;
845;Петуния, есть идеи?;
846;– Вернон говорил, вы великолепно играете в гольф, мистер Мейсон… Расскажите же, где вы купили это потрясающее платье, миссис Мейсон…    – Чудесно… Дудли?;
847;– А ты, парень?;
848;– Что?;
849;– Чего же тебе не прислали открыток?;
850;У тебя что, нет друзей в этой твоей дурке… куда тебя сбагрили?;
851;– Не боишься, что мамочка услышит, как ты мою дурку обсуждаешь?;
852;– А чего ты на изгородь таращишься?;
