ID;Russian;English
617;— Но он делает это ради того, чтобы набраться сил и завладеть напитком, который полностью восстановит его силы и сделает его бессмертным… Мистер Поттер, вы знаете, что сейчас спрятано в школе?;"Harry, are you all right?"""
618;Но я не понимаю, кому…  — Разве вы не знаете того, кто много лет ждал, пока сможет вернуть себе силы, того, кто все эти годы цеплялся за жизнь, дожидаясь своего шанса?…  Гарри показалось, что его сердце стянул железный обруч.;Anyway, who says the centaurs are right?
619;Гарри, ты в порядке?;"""Where're you going?"""
620;Да и кто сказал, что кентавры правильно истолковали расположение звезд?;"""Why?"""
621;— Думаешь, я не хотел бы знать, что со мной происходит?!;"""Don't you think it's a bit odd,"" said Harry, scrambling up the grassy slope, ""that what Hagrid wants more than anything else is a dragon, and a stranger turns up who just happens to have an egg in his pocket?"
622;— Ты куда?;How many people wander around with dragon eggs if it's against wizard law?
623;— Зачем?;Lucky they found Hagrid, don't you think?
624;— Вы не думаете, что все это очень странно?;"Why didn't I see it before?"""
625;А как вы думаете, сколько людей с драконьими яйцами в карманах бродит по Англии?;"""What are you talking about?"""
626;И скольким улыбается удача, и они встречают своего Хагрида?;"""Finished yer exams?"
627;Почему же я раньше об этом не подумал?;"Got time fer a drink?"""
628;— Не пойму, о чем это ты?;You know that night you won Norbert?
629;— Ну как, сдали все?;"What did the stranger you were playing cards with look like?"""
630;Чайку хотите?;Mighta bin a dragon dealer, mightn' he?
631;Помнишь ту ночь, когда ты выиграл в карты Норберта?;"""What did you talk to him about, Hagrid?"
632;На кого был похож тот незнакомец?;"Did you mention Hogwarts at all?"""
633;— А о чем ты с ним разговаривал, Хагрид?;"So I told him, after Fluffy, a dragon would be easy...""  ""And did he -- did he seem interested in Fluffy?"""
634;Ты говорил, что работаешь в Хогвартсе?;"""Well -- yeah -- how many three-headed dogs d'yeh meet, even around Hogwarts?"
635;Не хотел он его лишь бы кому проигрывать… А я ему рассказал, что… того… после Пушка с драконом я запросто управлюсь…  — А он… он спрашивал что-нибудь про Пушка?;"Hey -- where're yeh goin'?"""
636;— Ну… да… А чего тут такого?;"Where's Dumbledore's office?"""
637;Думаешь, много по свету трехголовых псов бродит?;"""What are you three doing inside?"""
638;Эй, вы куда?;"""See Professor Dumbledore?"""
639;Кстати, а где кабинет Дамблдора?;"""Why?"""
640;— Что вы, трое, делаете в замке?;Harry swallowed -- now what?
641;— Увидеть профессора Дамблдора?;"""He's gone?"""
642;— А зачем?;"""Now?"""
643;— Он улетел?;"""How do you know --?"""
644;— в такое время?;"And Gryffindor really can't afford to lose any more points, can it?"""
645;Это означало, что она уже вне себя и лишь усилием воли держит себя в руках — Вы хотите сказать, что ваше дело куда более важное, чем то, по которому профессор Дамблдор вылетел в Министерство магии?;"""Why me?"""
646;— Откуда… откуда вы знаете?;"""Well, that's it then, isn't it?"""
647;А ваш факультет не может позволить себе еще сотню штрафных очков, не так ли?;"""After what McGonagall and Snape have said?"
648;— Но почему я?;"""Don't you understand?"
649;— Я полагаю, вы считаете, что вы куда более надежные сторожа, чем десяток заклинаний?!;Haven't you heard what it was like when he was trying to take over?
650;— Ну что ж, похоже, час пробил, не так ли?;Losing points doesn't matter anymore, can't you see?
651;— После того, что тебе сказали МакГонагалл и Снегг?;D'you think he'll leave you and your families alone if Gryffindor wins the house cup?
652;— И ЧТО?;"Voldemort killed my parents, remember?"""
653;— Неужели вы ничего не понимаете?;"""But will it cover all three of us?"""
654;Разве вы не слышали о тех временах, когда он пытался захватить власть?;"""All -- all three of us?"""
655;И что?;"""Oh, come off it, you don't think we'd let you go alone?"""
656;Волан-де-Морт оставит в покое вас и ваши семьи?;"""How do you think you'd get to the Stone without us?"
657;— Ты думаешь, мы трое под ней уместимся?;"""We'd better put the cloak on here, and make sure it covers all three of us -- if Filch spots one of our feet wandering along on its own --""  ""What are you doing?"""
658;— Что значит — мы трое?;"Why don't you go to bed, Neville?"""
659;— Ты что, думал, мы оставим тебя одного?;"""What've you done to him?"""
660;— Ты думаешь, тебе удастся без нашей помощи добраться до камня?;"""Who's there?"""
661;— Если Филч вдруг увидит, как по коридору бредет одна нога, он…  — Что вы задумали?;"Are you ghoulie or ghostie or wee student beastie?"""
662;Почему бы тебе не пойти спать, Невилл?;"""What's that at its feet?"""
663;Только глаза его двигались, с ужасом глядя на них  — Что ты с ним сделала?;"""Want to go first, Hermione?"""
664;— Кто здесь?;"""What can you see?"""
665;Ты дух или привидение?;"""You want to go first?"
666;А может быть, школьник?;"Are you sure?"""
667;— Что это валяется у него под ногами?;"Go straight to the owlery and send Hedwig to Dumbledore, right?"""
668;— Ну что, начали?;"""What's this stuff?"""
669;— Хочешь пойти первой, Гермиона?;"""Devil's Snare, Devil's Snare... what did Professor Sprout say?"
670;— Что ты там видишь?;"""HAVE YOU GONE MAD?"""
671;— Ты хочешь пойти первым?;"""ARE YOU A WITCH OR NOT?"""
672;Уверен?;"If they met a dragon, a fully-grown dragon -- Norbert had been bad enough...  ""Can you hear something?"""
673;— Беги к Хагриду, чтобы тот немедленно отправил к Дамблдору сову, понял?;"""Do you think it's a ghost?"""
674;— Это что за штука?;"""Do you think they'll attack us if we cross the room?"""
675;— Повезло?!;"""Now what?"""
676;— Что там говорила профессор Стебль?;They watched the birds soaring overhead, glittering -- glittering?
677;— Да, разумеется, но что мне поджечь?;"""Ready?"""
678;— ТЫ С УМА СОШЛА?;"""Now what do we do?"""
679;— ТЫ ВОЛШЕБНИЦА ИЛИ НЕТ?;"""It's obvious, isn't it?"""
680;«Но что мне поджечь?;"""How?"""
681;А что, если они встретят дракона, большого, взрослого дракона, хотя, признаться, и Норберта было бы достаточно…  — Слышите?;"""Do we -- er -- have to join you to get across?"""
682;— Думаешь, это привидение?;"""What about you?"""
683;— Думаешь, они нападут на нас, если мы попытаемся пройти через зал?;What if they lost?
684;— И что теперь?;"""But --""  ""Do you want to stop Snape or not?"""
685;Они подняли головы, разглядывая порхающих у них над головами птиц — ярких, блестящих… Блестящих?;"""Ready?"""
686;Готовы?;"""What if he's --?"""
687;— Готовы?;"""What do you reckon's next?"""
688;— И что нам теперь делать?;"""All right?"""
689;— И как же нам выиграть?;"""What do we have to do?"""
690;— Нам… э… нам надо присоединиться к вам, чтобы перебраться на ту сторону?;"""But so will we, won't we?"""
691;— А ты?;"""But how do we know which to drink?"""
692;В голове его вертелась только одна мысль: что будет, если они проиграют?;"""Which one will get you back through the purple flames?"""
693;— Ты хочешь остановить Снегга или нет?;"""But Harry -- what if You-Know-Who's with him?"""
694;Готовы?;"""Well -- I was lucky once, wasn't I?"""
695;— Как думаешь, что нас ждет впереди?;"""You are sure which is which, aren't you?"""
696;— Готова?;"""It's not poison?"""
697;Только вот что нам делать с этими сосудами?;"""But I thought -- Snape --""  ""Severus?"""
698;Ты хочешь здесь остаться на долгие века?;"""Yes, Severus does seem the type, doesn't he?"
699;— Разве не так?;"Next to him, who would suspect p-p-poor, st-stuttering P-Professor Quirrell?"""
700;— А как мы узнаем, из какой мы должны отпить?;"""Snape was trying to save me?"""
701;— А какая даст тебе возможность пройти через фиолетовый огонь?;"""\Why do you think he wanted to referee your next match?"
702;— А что, если с ним Ты-Знаешь-Кто?;"""You let the troll in?"""
703;— Я?;I have a special gift with trolls -- you must have seen what I did to the one in the chamber back there?
704;— Ты уверена, что правильно разгадала головоломку?;"I'm presenting it to my master... but where is it?"""
705;— Это не яд?;He was at Hogwarts with your father, didn't you know?
706;— Вы?;"""Sometimes,"" he said, ""I find it hard to follow my master's instructions -- he is a great wizard and I am weak --""  ""You mean he was there in the classroom with you?"""
707;— Я думал… что Снегг…  — Северус?;Harry was remembering his trip to Diagon Alley -how could he have been so stupid?
708;— Квиррелл расхохотался, и это было не его обычное дрожащее хихиканье, но ледяной, пронзительный смех — Да, Северус выглядит подозрительно, не правда ли?;"""I don't understand... is the Stone inside the mirror?"
709;— Снегг пытался меня спасти?;"Should I break it?"""
710;— А как ты думаешь, с чего это он решил судить следующий матч?;But how can I look without Quirrell realizing what I'm up to?
711;— Кто шатался по школе в Хэллоуин?;"""What does this mirror do?"
712;— Так это вы впустили тролля?;How does it work?
713;Видел, как я обошелся с тем, мимо которого ты прошел по пути сюда?;"""Well?"""
714;— Я собираюсь преподнести его моему повелителю… Но где же этот камень?;"""What do you see?"""
715;Он учился в Хогвартсе вместе с твоим отцом, разве ты этого не знал?;Dare he make a break for it?
716;— Просто иногда… иногда мне бывает нелегко выполнять приказы моего господина — ведь он великий волшебник, а я слаб и…  — Вы хотите сказать, что в той комнате он был вместе с вами?;"What did you just see?"""
717;Господи, как он мог быть так глуп?;What was going on?
718;— Может, этот камень находится внутри зеркала?;"""See what I have become?"""
719;Может быть, я должен его разбить?;"I have form only when I can share another's body... but there have always been those willing to let me into their hearts and minds.... Unicorn blood has strengthened me, these past weeks... you saw faithful Quirrell drinking it for me in the forest... and once I have the Elixir of Life, I will be able to create a body of my own.... Now... why don't you give me that Stone in your pocket?"""
720;Но как я могу заглянуть в зеркало, чтобы Квиррелл этого не заметил и не понял, чего я хочу?»  Гарри попробовал сдвинуться с места, но веревки крепко держали его — он пошатнулся и упал.;"""Then who does?"
721;— Что делает это зеркало?;"""How long have I been in here?"""
722;Что оно показывает?;"""You got there?"
723;— Ну и что?;"You got Hermione's owl?"""
724;— Что ты там видишь?;"""Destroyed?"""
725;Что ты там видел?;"""But your friend -- Nicolas Flamel --""  ""Oh, you know about Nicolas?"""
726;— Видишь, чем я стал?;"""You did do the thing properly, didn't you?"
727;— Всего лишь тенью, химерой… Я обретаю форму, только вселяясь в чужое тело… Всегда находятся те, кто готов впустить меня в свой мозг и свое сердце… Кровь единорога сделала меня сильнее… Ты видел, как мой верный Квиррелл пил ее в лесу… И как только я завладею эликсиром жизни, я смогу создать себе свое собственное тело… Итак, почему бы тебе не отдать мне камень, который ты прячешь в кармане?;"""But that means he and his wife will die, won't they?"""
728;— Но тогда у кого?;"""Sir?"""
729;— Я давно здесь?;Well, Voldemort's going to try other ways of coming back, isn't he?
730;— Вы были там?!;"I mean, he hasn't gone, has he?"""
731;— Вы получили сову, которую послала Гермиона?;"But why would he want to kill me in the first place?"""
732;— Уничтожен?;"""But why couldn't Quirrell touch me?"""
733;— Но ваш друг, Николас Фламель…  — О, так ты знаешь о Николасе?;"When he had found his voice again, Harry said, ""And the invisibility cloak - do you know who sent it to me?"""
734;— Ты все разузнал, не так ли?;"Is that true?"""
735;— Но это означает, что он и его жена умрут, не так ли?;"""What?"""
736;— Гарри поспешно кивнул, ему не терпелось услышать ответ. — Я хотел спросить: ведь теперь Волан-де-Морт будет искать другой способ вернуть себе силы, правда?;"""What?"""
737;Я имею в виду, ведь он не исчез навсегда?;"""Funny, the way people's minds work, isn't it?"
738;Но я не могу понять, зачем ему вообще понадобилось убивать меня?;"""And sir, there's one more thing...""  ""Just the one?"""
739;— А почему Квиррелл не мог прикоснуться ко мне?;"""How did I get the Stone out of the mirror?"""
740;— Вы знаете, кто мне ее прислал?.;"I was unfortunate enough in my youth to come across a vomitflavored one, and since then I'm afraid I've rather lost my liking for them -- but I think I'll be safe with a nice toffee, don't you?"""
741;Это правда?;"""What really happened?"""
742;— Что?;"""So the Stone's gone?"""
743;— Что?;"""Flamel's just going to die?"""
744;— Еще один вопрос…  — Всего один?;"""That's what I said, but Dumbledore thinks that -- what was it?"
745;— Как мне удалось достать камень из зеркала?;"""So what happened to you two?"""
746;Но вот эта конфетка кажется мне вполне безобидной, как ты считаешь?;"""I brought Ron round -- that took a while -- and we were dashing up to the owlery to contact Dumbledore when we met him in the entrance hall -- he already knew -- he just said, 'Harry's gone after him, hasn't he?'"
747;— Вкус ушной серы, не самый приятный на свете, ты не находишь?;"""D'you think he meant you to do it?"""
748;— А что там произошло на самом деле?;"""Sending you your father's cloak and everything?"""
749;— Значит, камня больше нет?;"I can, can't I?"""
750;— спросил Рон, когда Гарри замолк — Значит, Фламель умрет?;"""Who is it?"""
751;— А с вами что было после того, как мы расстались?;"""It's not a stoat sandwich, is it?"""
752;Он уже все знал, представляешь?;"""Sent owls off ter all yer parents' old school friends, askin' fer photos... knew yeh didn' have any... d'yeh like it?"""
753;Он просто спросил: — Гарри пошел за ним, да?;"""Busy year?"""
754;— Ты думаешь, он специально так все подстроил?;"""Ready, are you?"""
755;Может, он хотел, чтобы именно ты это сделал?;
756;— Я могу пойти, правда?;
757;— Кто это?;
758;— Надеюсь, это не бутерброд с мясом горностая?;
759;— Чтоб фотографий прислали, потому как нет у тебя ни одной… Ну что, нравится тебе?;
760;Миссис Уизли улыбнулась им.  — Нелегкий выдался год?;
761;— Ну, ты готов?;
